Date,Parameter ,Value,Approval Name,Grade Name
2021-05-20 22:50,47,153,APPROVED,UNSPECIFIED
2021-05-20 22:55,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:00,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:05,47,153,APPROVED,UNSPECIFIED
2021-05-20 23:10,47,153,APPROVED,UNSPECIFIED
2021-05-20 23:15,47,153,APPROVED,UNSPECIFIED
2021-05-20 23:20,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:25,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:30,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:35,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:40,47,152,APPROVED,UNSPECIFIED
2021-05-20 23:45,47,151,APPROVED,UNSPECIFIED
2021-05-20 23:50,47,151,APPROVED,UNSPECIFIED
2021-05-20 23:55,47,151,APPROVED,UNSPECIFIED
2021-05-21 0:00,47,150,APPROVED,UNSPECIFIED
2021-05-21 0:05,47,150,APPROVED,UNSPECIFIED
2021-05-21 0:10,47,149,APPROVED,UNSPECIFIED
2021-05-21 0:15,47,149,APPROVED,UNSPECIFIED
2021-05-21 0:20,47,148,APPROVED,UNSPECIFIED
2021-05-21 0:25,47,147,APPROVED,UNSPECIFIED
2021-05-21 0:30,47,147,APPROVED,UNSPECIFIED
2021-05-21 0:35,47,146,APPROVED,UNSPECIFIED
2021-05-21 0:40,47,145,APPROVED,UNSPECIFIED
2021-05-21 0:45,47,144,APPROVED,UNSPECIFIED
2021-05-21 0:50,47,143,APPROVED,UNSPECIFIED
2021-05-21 0:55,47,143,APPROVED,UNSPECIFIED
2021-05-21 1:00,47,142,APPROVED,UNSPECIFIED
2021-05-21 1:05,47,141,APPROVED,UNSPECIFIED
2021-05-21 1:10,47,141,APPROVED,UNSPECIFIED
2021-05-21 1:15,47,140,APPROVED,UNSPECIFIED
2021-05-21 1:20,47,140,APPROVED,UNSPECIFIED
2021-05-21 1:25,47,139,APPROVED,UNSPECIFIED
2021-05-21 1:30,47,139,APPROVED,UNSPECIFIED
2021-05-21 1:35,47,139,APPROVED,UNSPECIFIED
2021-05-21 1:40,47,139,APPROVED,UNSPECIFIED
2021-05-21 1:45,47,138,APPROVED,UNSPECIFIED
2021-05-21 1:50,47,138,APPROVED,UNSPECIFIED
2021-05-21 1:55,47,137,APPROVED,UNSPECIFIED
2021-05-21 2:00,47,136,APPROVED,UNSPECIFIED
2021-05-21 2:05,47,136,APPROVED,UNSPECIFIED
2021-05-21 2:10,47,136,APPROVED,UNSPECIFIED
2021-05-21 2:15,47,135,APPROVED,UNSPECIFIED
2021-05-21 2:20,47,134,APPROVED,UNSPECIFIED
2021-05-21 2:25,47,133,APPROVED,UNSPECIFIED
2021-05-21 2:30,47,133,APPROVED,UNSPECIFIED
2021-05-21 2:35,47,132,APPROVED,UNSPECIFIED
2021-05-21 2:40,47,131,APPROVED,UNSPECIFIED
2021-05-21 2:45,47,130,APPROVED,UNSPECIFIED
2021-05-21 2:50,47,129,APPROVED,UNSPECIFIED
2021-05-21 2:55,47,129,APPROVED,UNSPECIFIED
2021-05-21 3:00,47,129,APPROVED,UNSPECIFIED
2021-05-21 3:05,47,128,APPROVED,UNSPECIFIED
2021-05-21 3:10,47,128,APPROVED,UNSPECIFIED
2021-05-21 3:15,47,128,APPROVED,UNSPECIFIED
2021-05-21 3:20,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:25,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:30,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:35,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:40,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:45,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:50,47,127,APPROVED,UNSPECIFIED
2021-05-21 3:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:25,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:35,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:45,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 4:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:25,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:35,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:45,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 5:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:25,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:35,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:45,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 6:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:25,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:35,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:45,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 7:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:15,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:25,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:35,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:45,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 8:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:05,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:10,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:15,47,127,APPROVED,UNSPECIFIED
2021-05-21 9:20,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:25,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:30,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:35,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:40,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:45,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:50,47,126,APPROVED,UNSPECIFIED
2021-05-21 9:55,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:00,47,126,APPROVED,UNSPECIFIED
2021-05-21 10:05,47,126,APPROVED,UNSPECIFIED
